mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21744980812072753,0.003341001107671928,10.557360410690308,0.12281938500340454,euclidean,7,uniform,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.9698333333333333,0.971,0.9705,0.9665,0.9666666666666667,0.9689,0.0019281539818639332,35
0.19599146842956544,0.0036291431344338985,3.954229211807251,0.043064399538143394,euclidean,7,distance,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.9748333333333333,0.9768333333333333,0.9753333333333334,0.9713333333333334,0.9715833333333334,0.9739833333333333,0.0021656407827707605,7
0.19518442153930665,0.0019121202114487387,5.903300333023071,0.0580090270798907,euclidean,7,distance,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9728333333333333,0.97425,0.9738333333333333,0.96775,0.96925,0.9715833333333335,0.0026028830169640724,17
0.21629776954650878,0.005568603321037743,11.154195547103882,0.25718885039618,euclidean,7,distance,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.9714166666666667,0.9723333333333334,0.9720833333333333,0.9675,0.9679166666666666,0.9702500000000001,0.002100925721887595,28
0.19678645133972167,0.001790860479628183,4.045443344116211,0.08035067667345466,euclidean,9,uniform,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.97275,0.9735,0.9730833333333333,0.9686666666666667,0.9703333333333334,0.9716666666666667,0.0018611525700191424,16
0.1971308708190918,0.003086348054705346,6.063739156723022,0.08850726590587092,euclidean,9,uniform,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9705,0.97125,0.9710833333333333,0.9664166666666667,0.9663333333333334,0.9691166666666666,0.0022525294424021952,34
0.21393566131591796,0.0028384570986933404,10.795481729507447,0.21482137622382624,euclidean,9,uniform,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.96825,0.9699166666666666,0.9685833333333334,0.9660833333333333,0.9648333333333333,0.9675333333333332,0.001826958614139308,39
0.19573063850402833,0.0021419727334251216,4.023124837875367,0.03245117466314649,euclidean,9,distance,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.9740833333333333,0.9746666666666667,0.9744166666666667,0.9698333333333333,0.971,0.9728,0.00198927680884845,11
0.19936685562133788,0.0024967831324089244,5.805089044570923,0.03548619153305491,euclidean,9,distance,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9721666666666666,0.97275,0.973,0.9671666666666666,0.96775,0.9705666666666666,0.0025589711474210395,26
0.2181321620941162,0.004517796642641291,7.867120265960693,0.4492266055280797,euclidean,9,distance,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.9696666666666667,0.9715,0.9705,0.96625,0.9665,0.9688833333333333,0.0021302060411560546,36
0.19891824722290039,0.002429001723535818,16.96522898674011,0.09380250065105265,manhattan,1,uniform,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.97275,0.9738333333333333,0.9711666666666666,0.9693333333333334,0.9685,0.9711166666666665,0.002003885115358535,21
0.2127324104309082,0.0010996655632594151,33.375893688201906,0.04877430301525699,manhattan,1,uniform,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9661666666666666,0.9681666666666666,0.9650833333333333,0.9631666666666666,0.9629166666666666,0.9651,0.001951779814539649,43
0.23966064453125,0.004807221503644743,91.07279934883118,0.35871648569632,manhattan,1,uniform,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.95725,0.9590833333333333,0.95575,0.95025,0.9568333333333333,0.9558333333333333,0.002991655060330297,52
0.2107912063598633,0.007392149772953655,16.94771776199341,0.040926551680567476,manhattan,1,distance,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.97275,0.9738333333333333,0.9711666666666666,0.9693333333333334,0.9685,0.9711166666666665,0.002003885115358535,21
0.21086783409118653,0.0031473308170975158,33.61026296615601,0.06868484571058604,manhattan,1,distance,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9661666666666666,0.9681666666666666,0.9650833333333333,0.9631666666666666,0.9629166666666666,0.9651,0.001951779814539649,43
0.23799214363098145,0.004517790409459198,91.94176664352418,0.3378524730720203,manhattan,1,distance,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.95725,0.9590833333333333,0.95575,0.95025,0.9568333333333333,0.9558333333333333,0.002991655060330297,52
0.21070728302001954,0.0029991078902832295,17.214199352264405,0.029316040359317744,manhattan,3,uniform,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.9709166666666667,0.9725,0.9704166666666667,0.9688333333333333,0.9675,0.9700333333333335,0.0017244967059663805,30
0.21941924095153809,0.007649768073164403,33.81032018661499,0.05708053160097026,manhattan,3,uniform,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9661666666666666,0.9669166666666666,0.9644166666666667,0.9633333333333334,0.96275,0.9647166666666667,0.001600867820208061,45
0.2405613899230957,0.004669759639974361,93.04498682022094,0.3111108167668932,manhattan,3,uniform,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.9549166666666666,0.9573333333333334,0.9540833333333333,0.9539166666666666,0.954,0.9548500000000001,0.001292499731356116,55
0.21148171424865722,0.0014657923332875482,17.529106426239014,0.05115103799073046,manhattan,3,distance,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.9726666666666667,0.97375,0.9723333333333334,0.9694166666666667,0.9690833333333333,0.9714500000000001,0.0018593607025594184,19
0.2228099822998047,0.0038536253381683365,34.44896125793457,0.07056688405464193,manhattan,3,distance,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9678333333333333,0.9686666666666667,0.9658333333333333,0.96475,0.9643333333333334,0.9662833333333334,0.0016993462795374438,41
0.24717626571655274,0.008223995468171092,94.01632370948792,0.4376548535538371,manhattan,3,distance,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.9576666666666667,0.95875,0.95625,0.9546666666666667,0.9564166666666667,0.9567499999999999,0.0013814243856734671,51
0.22077555656433107,0.00584061366353654,17.790466785430908,0.021796992989897325,manhattan,5,uniform,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.96975,0.9715,0.9696666666666667,0.9671666666666666,0.9678333333333333,0.9691833333333333,0.0015369522511198244,33
0.22270078659057618,0.0030613953931784618,34.61861248016358,0.07731651223525635,manhattan,5,uniform,0.95,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9640833333333333,0.96525,0.9639166666666666,0.9606666666666667,0.9615833333333333,0.9631000000000001,0.0017016332024133662,47
0.24295330047607422,0.00943554145514137,95.31716508865357,0.529470373093565,manhattan,5,uniform,0.99,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.9536666666666667,0.9549166666666666,0.9546666666666667,0.9515833333333333,0.9511666666666667,0.9532,0.0015533118739576132,56
0.21861281394958496,0.0034215218798604105,17.812828540802002,0.06908572490940722,manhattan,5,distance,0.9,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.9711666666666666,0.9723333333333334,0.97175,0.9686666666666667,0.9689166666666666,0.9705666666666666,0.0014975906576156946,26
